Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
LookAhead,Primitive,RVO,55,10,10,20,60,0,12.3,674,4,5.25,1,0,0,0,0
LookAhead,Primitive,RVO,56,10,10,20,60,0,12.9,728,4,6.875000000000001,1,0,0,0,0
LookAhead,Primitive,RVO,57,10,10,20,60,0,15.7,826,5,6.74,1,0,0,0,0
LookAhead,Primitive,RVO,58,10,10,20,60,0,14.0,726,3,6.500000000000001,1,0,0,0,0
LookAhead,Primitive,RVO,59,10,10,20,60,0,12.3,711,3,7.433333333333334,1,0,0,0,0
LookAhead,Primitive,RVO,0,10,10,40,20,0,43.400000000000006,788,4,9.775,1,0,0,0,0
LookAhead,Primitive,RVO,1,10,10,40,20,0,10.3,218,2,2.6,0,0,0,0,1
LookAhead,Primitive,RVO,2,10,10,40,20,0,5.7,136,1,0.8,0,0,0,0,1
LookAhead,Primitive,RVO,3,10,10,40,20,0,37.9,722,8,5.9125000000000005,0,0,0,0,1
LookAhead,Primitive,RVO,4,10,10,40,20,0,37.3,710,4,8.625,1,0,0,0,0
LookAhead,Primitive,RVO,5,10,10,40,20,0,13.9,280,2,4.25,0,0,1,0,0
LookAhead,Primitive,RVO,6,10,10,40,20,0,30.4,592,5,4.7,0,0,1,0,0
LookAhead,Primitive,RVO,7,10,10,40,20,0,30.9,573,3,3.5333333333333337,0,0,0,0,1
LookAhead,Primitive,RVO,8,10,10,40,20,0,33.1,665,4,6.3500000000000005,0,0,0,0,1
LookAhead,Primitive,RVO,9,10,10,40,20,0,1.6,67,1,1.6,0,0,1,0,0
LookAhead,Primitive,RVO,10,10,10,40,20,0,37.3,690,5,11.16,1,0,0,0,0
LookAhead,Primitive,RVO,11,10,10,40,20,0,14.6,320,5,8.74,0,0,1,0,0
LookAhead,Primitive,RVO,12,10,10,40,20,0,10.1,183,4,3.025,0,0,0,0,1
LookAhead,Primitive,RVO,13,10,10,40,20,0,3.8,93,0,,0,0,1,0,0
LookAhead,Primitive,RVO,14,10,10,40,20,0,16.3,334,7,6.628571428571428,0,0,1,0,0
LookAhead,Primitive,RVO,15,10,10,40,20,0,16.2,292,4,8.8,0,0,1,0,0
LookAhead,Primitive,RVO,16,10,10,40,20,0,37.3,705,6,4.966666666666668,1,0,0,0,0
LookAhead,Primitive,RVO,17,10,10,40,20,0,41.3,832,12,5.675,0,0,1,0,0
LookAhead,Primitive,RVO,18,10,10,40,20,0,12.0,256,3,3.1666666666666674,0,0,1,0,0
LookAhead,Primitive,RVO,19,10,10,40,20,0,40.6,720,5,6.4,1,0,0,0,0
LookAhead,Primitive,RVO,20,10,10,40,20,0,3.2,101,1,0.2,0,0,1,0,0
LookAhead,Primitive,RVO,21,10,10,40,20,0,16.7,350,4,4.4750000000000005,0,0,1,0,0
LookAhead,Primitive,RVO,22,10,10,40,20,0,27.700000000000003,582,4,8.225,0,0,1,0,0
LookAhead,Primitive,RVO,23,10,10,40,20,0,42.8,771,7,5.971428571428571,1,0,0,0,0
LookAhead,Primitive,RVO,24,10,10,40,20,0,24.9,509,3,4.133333333333334,0,0,0,0,1
LookAhead,Primitive,RVO,25,10,10,40,20,0,0.8,59,1,0.8,0,0,0,0,1
LookAhead,Primitive,RVO,26,10,10,40,20,0,28.5,607,5,7.979999999999999,0,0,1,0,0
LookAhead,Primitive,RVO,27,10,10,40,20,0,37.2,732,7,7.314285714285715,1,0,0,0,0
LookAhead,Primitive,RVO,28,10,10,40,20,0,38.3,738,5,10.38,1,0,0,0,0
LookAhead,Primitive,RVO,29,10,10,40,20,0,37.3,759,6,7.733333333333333,1,0,0,0,0
LookAhead,Primitive,RVO,30,10,10,40,20,0,39.400000000000006,798,5,10.0,1,0,0,0,0
LookAhead,Primitive,RVO,31,10,10,40,20,0,31.700000000000003,633,9,7.322222222222223,0,0,0,0,1
LookAhead,Primitive,RVO,32,10,10,40,20,0,36.4,690,5,7.080000000000001,1,0,0,0,0
LookAhead,Primitive,RVO,33,10,10,40,20,0,44.1,768,6,9.65,1,0,0,0,0
LookAhead,Primitive,RVO,34,10,10,40,20,0,36.9,726,8,6.65,1,0,0,0,0
LookAhead,Primitive,RVO,35,10,10,40,20,0,37.4,753,4,6.200000000000001,1,0,0,0,0
LookAhead,Primitive,RVO,36,10,10,40,20,0,1.0,58,1,0.7000000000000001,0,0,0,0,1
LookAhead,Primitive,RVO,37,10,10,40,20,0,0.7000000000000001,52,1,0.7000000000000001,0,0,1,0,0
LookAhead,Primitive,RVO,38,10,10,40,20,0,0.1,24,1,0.1,0,0,1,0,0
LookAhead,Primitive,RVO,39,10,10,40,20,0,10.1,220,2,2.5,0,0,0,0,1
LookAhead,Primitive,RVO,40,10,10,40,20,0,40.8,732,6,8.4,1,0,0,0,0
LookAhead,Primitive,RVO,41,10,10,40,20,0,13.9,314,3,4.0,0,0,1,0,0
LookAhead,Primitive,RVO,42,10,10,40,20,0,10.2,248,3,3.066666666666667,0,0,1,0,0
LookAhead,Primitive,RVO,43,10,10,40,20,0,38.6,751,6,9.333333333333334,1,0,0,0,0
LookAhead,Primitive,RVO,44,10,10,40,20,0,8.0,210,2,4.0,0,0,1,0,0
LookAhead,Primitive,RVO,45,10,10,40,20,0,16.1,335,0,,0,0,1,0,0
LookAhead,Primitive,RVO,46,10,10,40,20,0,31.0,609,2,3.05,0,0,1,0,0
LookAhead,Primitive,RVO,47,10,10,40,20,0,20.700000000000003,393,2,2.5,0,0,0,0,1
LookAhead,Primitive,RVO,48,10,10,40,20,0,38.7,732,4,9.925,1,0,0,0,0
LookAhead,Primitive,RVO,49,10,10,40,20,0,37.9,713,4,6.4,1,0,0,0,0
LookAhead,Primitive,RVO,50,10,10,40,20,0,31.3,590,5,5.74,0,0,1,0,0
LookAhead,Primitive,RVO,51,10,10,40,20,0,40.2,799,12,5.883333333333333,1,0,0,0,0
LookAhead,Primitive,RVO,52,10,10,40,20,0,9.2,207,3,1.8333333333333333,0,0,0,0,1
