,Method,Planner,depth var,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Total samples,Success,Static Collision,Dynamic Collision,Dead Lock,Success rate,Tracked agents,Tracked time,velocity ratio
137,LookAhead,MPC,0,30,0,20,20.0,0,4320,2178,0,1970,172,0.5439814814814815,27782,207609.7,1.0
138,LookAhead,Primitive,0,30,0,40,20.0,0,8640,514,0,5569,2557,0.3554398148148148,39469,132386.9,2.0
139,LookAhead,Jerk_Primitive,0,30,0,40,20.0,0,8640,1618,0,6623,399,0.2334490740740741,47999,181791.50000000003,2.0
140,LookAhead,MPC,0,30,0,40,20.0,0,4320,627,0,3626,67,0.16064814814814815,23914,89115.0,2.0
141,LookAhead,Primitive,0,30,0,60,20.0,0,8640,89,0,6835,1716,0.20891203703703703,33605,73349.8,3.0
142,LookAhead,Jerk_Primitive,0,30,0,60,20.0,0,8640,403,0,8019,218,0.071875,37022,86634.20000000001,3.0
143,LookAhead,MPC,0,30,0,60,20.0,0,4320,198,0,4075,47,0.056712962962962965,21026,50185.8,3.0
144,LookAhead,Primitive,0,30,0,20,40.0,0,8640,5287,3,2224,1126,0.7422453703703704,66107,428059.50000000006,0.5
145,LookAhead,Jerk_Primitive,0,30,0,20,40.0,0,8640,7218,9,1347,66,0.8430555555555556,57394,266540.3,0.5
146,LookAhead,MPC,0,30,0,20,40.0,0,4320,2243,0,1792,285,0.5851851851851851,25864,147886.6,0.5
147,LookAhead,Primitive,0,30,0,40,40.0,0,8640,1255,2,4897,2486,0.4329861111111111,44121,149724.8,1.0
148,LookAhead,Jerk_Primitive,0,30,0,40,40.0,0,8640,5284,26,3310,20,0.6138888888888889,51884,180076.7,1.0
149,LookAhead,MPC,0,30,0,40,40.0,0,4320,1341,0,2870,109,0.33564814814814814,20677,64372.600000000006,1.0
150,LookAhead,Primitive,0,30,0,60,40.0,0,8640,328,3,6799,1510,0.2127314814814815,34924,74827.6,1.5
151,LookAhead,Jerk_Primitive,0,30,0,60,40.0,0,8640,2986,13,5621,20,0.34791666666666665,45259,114590.7,1.5
152,LookAhead,MPC,0,30,0,60,40.0,0,4320,611,0,3648,61,0.15555555555555556,17680,36176.4,1.5
153,LookAhead,Primitive,0,30,0,20,60.0,0,8640,5618,76,2206,740,0.7358796296296296,55790,255726.30000000002,0.33
154,LookAhead,Jerk_Primitive,0,30,0,20,60.0,0,8640,7300,27,1301,12,0.8462962962962963,52831,185567.6,0.33
155,LookAhead,MPC,0,30,0,20,60.0,0,4320,1391,20,2736,173,0.36203703703703705,19281,69573.3,0.33
156,LookAhead,Primitive,0,30,0,40,60.0,0,8640,2512,38,5393,697,0.371412037037037,41419,117562.9,0.67
157,LookAhead,Jerk_Primitive,0,30,0,40,60.0,0,8640,6181,16,2439,4,0.7158564814814815,49077,140679.5,0.67
158,LookAhead,MPC,0,30,0,40,60.0,0,4320,992,8,3211,109,0.2548611111111111,16220,35848.0,0.67
159,LookAhead,Primitive,0,30,0,60,60.0,0,8640,1204,28,6991,417,0.18761574074074075,33536,65696.3,1.0
160,LookAhead,Jerk_Primitive,0,30,0,60,60.0,0,8640,4561,22,4053,4,0.5283564814814815,44016,101851.70000000001,1.0
161,LookAhead,MPC,0,30,0,60,60.0,0,4320,689,2,3574,55,0.17222222222222222,15842,27763.4,1.0
162,Owl,Primitive,0,10,0,20,20.0,0,8640,6835,1,1376,428,0.840625,25682,201729.0,1.0
163,Owl,Jerk_Primitive,0,10,0,20,20.0,0,7560,6352,0,1044,162,0.8616402116402117,20102,145896.9,1.0
164,Owl,MPC,0,10,0,20,20.0,0,4320,3454,0,764,102,0.8231481481481482,11914,95495.3,1.0
165,Owl,Primitive,0,10,0,40,20.0,0,8640,3052,0,4042,1546,0.5321759259259259,27085,114985.70000000001,2.0
166,Owl,Jerk_Primitive,0,10,0,40,20.0,0,7560,4049,0,3421,90,0.5474867724867725,23583,105026.6,2.0
167,Owl,MPC,0,10,0,40,20.0,0,4320,2277,0,1999,44,0.5372685185185185,14083,65555.2,2.0
168,Owl,Primitive,0,10,0,60,20.0,0,8640,1591,3,5745,1301,0.3347222222222222,26783,78337.7,3.0
169,Owl,Jerk_Primitive,0,10,0,60,20.0,0,7560,2229,0,5221,110,0.3093915343915344,23517,70652.8,3.0
