,Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Total samples,Success,Static collision,Dynamic collision,Area covered per step,Agent tracked per step,Agent tracking time
214,NoControl,Primitive,10,10,40,20,81,65,0,16,1.9959295817645264,2.3506665309860586,30.6568299669759
215,NoControl,Primitive,10,10,40,30,96,88,0,8,2.5867528433288243,3.427025402074252,30.472083708597143
216,NoControl,Primitive,10,10,40,40,120,103,0,17,3.298997493734336,3.699248120300752,28.05217398016542
217,NoControl,Primitive,15,0,20,20,84,76,0,8,2.2117335236250573,2.594423772873235,41.01547251826718
218,NoControl,Primitive,15,0,20,30,102,99,0,3,2.7139990971560417,3.4207754426443295,35.71255614116801
219,NoControl,Primitive,15,0,20,40,125,122,0,3,3.4883336671339875,3.424794712597637,31.062202289574515
220,NoControl,Primitive,15,0,30,20,74,61,0,13,1.9705272736464283,2.7855012385622566,32.52589750505968
221,NoControl,Primitive,15,0,30,30,98,88,0,10,2.667322139867897,3.2219028891241868,30.897618426326808
222,NoControl,Primitive,15,0,30,40,110,103,0,7,3.1060111484959574,3.038216240646814,28.54205802756231
223,NoControl,Primitive,15,0,40,20,71,48,0,23,1.7079605990551814,2.859583877776661,26.15806815093879
224,NoControl,Primitive,15,0,40,30,89,71,0,18,2.138699501373766,2.8085885824768493,25.285095855458163
225,NoControl,Primitive,15,0,40,40,113,89,0,24,2.848086664326195,3.5407994382867747,24.817828783380687
226,NoControl,Primitive,15,5,20,20,122,111,0,11,2.15203136618671,2.5316027851010614,41.07154849998881
227,NoControl,Primitive,15,5,20,30,155,152,0,3,2.771663313212609,3.1690140845070425,40.177777145213106
228,NoControl,Primitive,15,5,20,40,126,122,0,4,3.3059193041797537,3.35346702101957,34.295044320118585
229,NoControl,Primitive,15,5,30,20,74,60,0,14,1.8971220474432249,2.9487633402458147,32.836337219630295
230,NoControl,Primitive,15,5,30,30,98,89,0,9,2.587734327756501,3.1142914734932474,31.292476901791026
231,NoControl,Primitive,15,5,30,40,113,101,0,12,2.9622999052510846,3.376053458335411,29.16699142678293
